运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
家居家纺>生活日用>雨伞雨具,1620>1624>1656,电动车/配件/交通工具>电动车装备>电动车雨披,50316001>53994026>54012033
家居家纺>生活日用>雨伞雨具,1620>1624>1656,电动车/配件/交通工具>电动车装备>电动车遮阳伞,50316001>53994026>55070016
家居家纺>生活日用>雨伞雨具,1620>1624>1656,户外运动用品>风雪/雨衣>雨衣雨裤,2203>50430039>50432028
家居家纺>生活日用>雨伞雨具,1620>1624>1656,居家日用/节日用品>儿童居家用品>儿童雨披/雨衣,50036568>56212001>56216001
家居家纺>生活日用>雨伞雨具,1620>1624>1656,居家日用/节日用品>儿童居家用品>儿童遮阳伞/晴雨伞,50036568>56212001>56214001
家居家纺>生活日用>雨伞雨具,1620>1624>1656,全球家居>日用百货>伞,56846007>56836031>56762013
家居家纺>生活日用>雨伞雨具,1620>1624>1656,居家日用>5元以下小商品区>雨衣,21>50049145>50049156
母婴>营养辅食,1319>1524,天猫超市>进口商品>进口母婴营养辅食,50514008>51454011>51440024
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,收纳整理>储物箱>医药箱,55098010>55122013>55122014
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,汽车内外饰用品>驾乘个人用品>汽车收纳箱,56818006>56816005>50042765
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,出口优品>收纳/整理用具>内衣收纳盒,55876031>55854036>55874048
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,厨房/餐饮用具>瓷器/餐具>牙签筒,50036640>50026009>50097545
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,厨房/餐饮用具>瓷器/餐具>瓶/罐,50036640>50026009>50026171
家居家纺>收纳用品>收纳箱/盒,1620>13780>13783,居家日用>包邮专区>药盒/医药箱,21>50046743>50046568
酒类>中外名酒>其他进口酒,12259>12260>s795,进口食品>进口酒>其他进口酒,50105688>53634012>55126006
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>假发配件/工具>假发护理液,50071436>50071659>50071688
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>假发配件/工具>假发钢梳,50071436>50071659>50071686
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>假发配件/工具>假发支架,50071436>50071659>50071689
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>其它假发/假发配件>假发发箍,50071436>50071660>50071690
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>其它假发/假发配件>其它假发,50071436>50071660>50071692
美妆个护>洗发护发>假发,1316>1386>4699,美发护发/假发>假发配件/工具>发网,50071436>50071659>50071687
